2024-03-21 01:46:40,034  - {'timestamp': '2024-03-21 01:46:20', 'rabbit_deaths': 5, 'rabbit_births': 1} is deleted, total rabbit count is: 3
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 01:46:54', 'rabbit_deaths': 6, 'rabbit_births': 2} is deleted, total rabbit count is: 2
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 01:47:00', 'rabbit_deaths': 8, 'rabbit_births': 2} is deleted, total rabbit count is: 4
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 01:47:01', 'rabbit_deaths': 7, 'rabbit_births': 4} is deleted, total rabbit count is: 4
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 01:47:06', 'rabbit_deaths': 5, 'rabbit_births': 5} is deleted, total rabbit count is: 4
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 01:47:18', 'rabbit_deaths': 8, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 01:47:20', 'rabbit_deaths': 9, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 01:47:21', 'rabbit_deaths': 3, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 01:47:24', 'rabbit_deaths': 2, 'rabbit_births': 5} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 23:10:54', 'rabbit_deaths': 9, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 23:10:58', 'rabbit_deaths': 7, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,765  - {'timestamp': '2024-03-21 23:10:59', 'rabbit_deaths': 2, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,766  - {'timestamp': '2024-03-21 23:11:00', 'rabbit_deaths': 10, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,766  - {'timestamp': '2024-03-21 23:11:03', 'rabbit_deaths': 4, 'rabbit_births': 4} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,766  - {'timestamp': '2024-03-21 23:11:08', 'rabbit_deaths': 4, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,766  - {'timestamp': '2024-03-21 23:11:10', 'rabbit_deaths': 10, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,766  - {'timestamp': '2024-03-21 23:11:14', 'rabbit_deaths': 7, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,766  - {'timestamp': '2024-03-21 23:11:18', 'rabbit_deaths': 2, 'rabbit_births': 3} is deleted, total rabbit count is: 1
2024-03-21 23:11:26,766  - {'timestamp': '2024-03-21 23:11:22', 'rabbit_deaths': 3, 'rabbit_births': 3} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,798  - {'timestamp': '2024-03-21 01:46:53', 'rabbit_deaths': 10, 'rabbit_births': 4} is deleted, total rabbit count is: 4
2024-03-21 23:11:57,798  - {'timestamp': '2024-03-21 01:46:54', 'rabbit_deaths': 6, 'rabbit_births': 2} is deleted, total rabbit count is: 4
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 01:47:00', 'rabbit_deaths': 8, 'rabbit_births': 2} is deleted, total rabbit count is: 6
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 01:47:01', 'rabbit_deaths': 7, 'rabbit_births': 4} is deleted, total rabbit count is: 6
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 01:47:18', 'rabbit_deaths': 8, 'rabbit_births': 2} is deleted, total rabbit count is: 3
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 01:47:20', 'rabbit_deaths': 9, 'rabbit_births': 2} is deleted, total rabbit count is: 3
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 01:47:24', 'rabbit_deaths': 2, 'rabbit_births': 5} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 23:10:54', 'rabbit_deaths': 9, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 23:10:58', 'rabbit_deaths': 7, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 23:10:59', 'rabbit_deaths': 2, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 23:11:00', 'rabbit_deaths': 10, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,799  - {'timestamp': '2024-03-21 23:11:03', 'rabbit_deaths': 4, 'rabbit_births': 4} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:08', 'rabbit_deaths': 4, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:10', 'rabbit_deaths': 10, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:14', 'rabbit_deaths': 7, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:18', 'rabbit_deaths': 2, 'rabbit_births': 3} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:22', 'rabbit_deaths': 3, 'rabbit_births': 3} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:25', 'rabbit_deaths': 5, 'rabbit_births': 4} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:27', 'rabbit_deaths': 8, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:32', 'rabbit_deaths': 8, 'rabbit_births': 4} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:37', 'rabbit_deaths': 8, 'rabbit_births': 4} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,800  - {'timestamp': '2024-03-21 23:11:42', 'rabbit_deaths': 7, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,801  - {'timestamp': '2024-03-21 23:11:46', 'rabbit_deaths': 5, 'rabbit_births': 2} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,801  - {'timestamp': '2024-03-21 23:11:48', 'rabbit_deaths': 4, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,801  - {'timestamp': '2024-03-21 23:11:50', 'rabbit_deaths': 7, 'rabbit_births': 1} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,801  - {'timestamp': '2024-03-21 23:11:52', 'rabbit_deaths': 5, 'rabbit_births': 5} is deleted, total rabbit count is: 1
2024-03-21 23:11:57,801  - {'timestamp': '2024-03-21 23:11:53', 'rabbit_deaths': 3, 'rabbit_births': 1} is deleted, total rabbit count is: 1
